[p1_fit] P_m200_o950->P_m201_o951 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m200_o950->P_m203_o903 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m200_o950->P_m203_o953 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m200_o950->P_m204_o904 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m200_o950->P_m204_o954 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m201_o951->P_m200_o950 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m201_o951->P_m203_o903 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m201_o951->P_m203_o953 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m201_o951->P_m204_o904 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m201_o951->P_m204_o954 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m203_o903->P_m200_o950 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m203_o903->P_m201_o951 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m203_o903->P_m203_o953 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m203_o903->P_m204_o904 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m203_o903->P_m204_o954 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m203_o953->P_m200_o950 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m203_o953->P_m201_o951 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m203_o953->P_m203_o903 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m203_o953->P_m204_o904 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m203_o953->P_m204_o954 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m204_o904->P_m200_o950 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m204_o904->P_m201_o951 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m204_o904->P_m203_o903 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m204_o904->P_m203_o953 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m204_o904->P_m204_o954 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m204_o954->P_m200_o950 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m204_o954->P_m201_o951 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m204_o954->P_m203_o903 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m204_o954->P_m203_o953 fitted (global + 4 positional, 3 classes each)
[p1_fit] P_m204_o954->P_m204_o904 fitted (global + 4 positional, 3 classes each)
P1_FIT_DONE 30 pairs; manifest with 30 map hashes written
